u,v,pen
0.08104,-0.02939,1
0.07936,-0.02827,1
0.07768,-0.02715,1
0.07611,-0.02588,1
0.07464,-0.02449,1
0.07317,-0.02311,1
0.07170,-0.02172,1
0.07050,-0.02009,1
0.06929,-0.01847,1
0.06809,-0.01685,1
0.06688,-0.01523,1
0.06584,-0.01350,1
0.06484,-0.01174,1
0.06384,-0.00998,1
0.06284,-0.00822,1
0.06184,-0.00647,1
0.06113,-0.00458,1
0.06042,-0.00268,1
0.05971,-0.00079,1
0.05900,0.00110,1
0.05840,0.00303,1
0.05788,0.00498,1
0.05737,0.00694,1
0.05685,0.00889,1
0.05559,0.01002,1
0.05359,0.01034,1
0.05178,0.01122,1
0.05000,0.01217,1
0.04842,0.01327,1
0.04813,0.01527,1
0.04784,0.01727,1
0.04784,0.01727,0
0.01768,0.03865,0
0.01768,0.03865,1
0.01628,0.03719,1
0.01495,0.03568,1
0.01405,0.03386,1
0.01316,0.03204,1
0.01229,0.03021,1
0.01161,0.02829,1
0.01093,0.02638,1
0.01025,0.02447,1
0.00957,0.02256,1
0.00916,0.02058,1
0.00877,0.01859,1
0.00853,0.01795,1
0.00860,0.01998,1
0.00867,0.02200,1
0.00874,0.02403,1
0.00881,0.02606,1
0.00836,0.02445,1
0.00786,0.02249,1
0.00735,0.02052,1
0.00685,0.01856,1
0.00635,0.01659,1
0.00585,0.01463,1
0.00534,0.01266,1
0.00570,0.01403,1
0.00620,0.01599,1
0.00671,0.01796,1
0.00722,0.01992,1
0.00772,0.02189,1
0.00823,0.02385,1
0.00873,0.02581,1
0.00876,0.02444,1
0.00869,0.02241,1
0.00862,0.02038,1
0.00855,0.01836,1
0.00866,0.01777,1
0.00908,0.01975,1
0.00951,0.02173,1
0.00994,0.02372,1
0.01068,0.02560,1
0.01145,0.02748,1
0.01222,0.02935,1
0.01299,0.03123,1
0.01376,0.03311,1
0.01458,0.03496,1
0.01585,0.03654,1
0.01711,0.03812,1
0.01897,0.03825,1
0.01953,0.03730,1
0.01766,0.03652,1
0.01607,0.03539,1
0.01488,0.03374,1
